"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PAYTM","EQ","14-Dec-2021","       1555.05","       1547.00","       1555.05","       1490.75","       1492.00","       1496.05","       1517.62","    1386088","          2103560760.85","      95597","     752380","         54.28"
"PAYTM","EQ","15-Dec-2021","       1496.05","       1421.30","       1429.95","       1296.00","       1381.90","       1379.95","       1367.57","   13139593","         17969273143.45","     624089","    4097681","         31.19"
"PAYTM","EQ","16-Dec-2021","       1379.95","       1435.00","       1435.00","       1390.55","       1401.00","       1399.35","       1410.67","    2323522","          3277719443.15","     114567","     867011","         37.31"
"PAYTM","EQ","17-Dec-2021","       1399.35","       1411.00","       1411.00","       1307.00","       1331.90","       1321.00","       1349.82","    2503637","          3379447185.05","     146838","    1452606","         58.02"
"PAYTM","EQ","20-Dec-2021","       1321.00","       1321.00","       1327.60","       1290.00","       1306.85","       1304.00","       1305.14","    1740923","          2272141803.05","     104177","     883919","         50.77"
"PAYTM","EQ","21-Dec-2021","       1304.00","       1306.00","       1348.95","       1306.00","       1312.30","       1311.45","       1324.85","     995207","          1318500620.85","      51626","     353006","         35.47"
"PAYTM","EQ","22-Dec-2021","       1311.45","       1348.10","       1350.00","       1330.55","       1344.75","       1342.20","       1339.99","     966463","          1295047598.70","      54147","     442484","         45.78"
"PAYTM","EQ","23-Dec-2021","       1342.20","       1358.45","       1385.00","       1344.00","       1347.20","       1348.80","       1360.81","    1268283","          1725893153.35","      57725","     469317","         37.00"
"PAYTM","EQ","24-Dec-2021","       1348.80","       1348.70","       1381.00","       1331.15","       1368.00","       1369.55","       1354.48","    1340599","          1815818979.45","      49451","     661901","         49.37"
"PAYTM","EQ","27-Dec-2021","       1369.55","       1365.00","       1365.35","       1335.30","       1345.30","       1344.95","       1344.73","     717268","           964532813.70","      37672","     298912","         41.67"
"PAYTM","EQ","28-Dec-2021","       1344.95","       1350.00","       1364.20","       1345.00","       1348.00","       1353.50","       1356.78","    1112292","          1509133596.25","      29182","     776435","         69.80"
"PAYTM","EQ","29-Dec-2021","       1353.50","       1353.50","       1379.15","       1340.00","       1340.95","       1341.55","       1349.94","    1096725","          1480510013.10","      40620","     625474","         57.03"
"PAYTM","EQ","30-Dec-2021","       1341.55","       1330.00","       1350.00","       1325.10","       1328.00","       1327.95","       1334.80","     806752","          1076848572.55","      34918","     376502","         46.67"
"PAYTM","EQ","31-Dec-2021","       1327.95","       1336.00","       1347.80","       1330.05","       1334.00","       1334.55","       1336.49","     407521","           544648303.00","      22725","     159580","         39.16"
"PAYTM","EQ","03-Jan-2022","       1334.55","       1335.00","       1346.85","       1335.00","       1337.00","       1339.80","       1341.44","     502075","           673505377.90","      25865","     272552","         54.29"
"PAYTM","EQ","04-Jan-2022","       1339.80","       1350.00","       1350.00","       1313.00","       1316.85","       1317.75","       1325.08","    1588242","          2104540626.45","      59195","    1077950","         67.87"
"PAYTM","EQ","05-Jan-2022","       1317.75","       1323.50","       1325.70","       1285.35","       1288.95","       1288.35","       1298.17","    1731917","          2248318364.20","     115226","     960282","         55.45"
